[2025-05-24T13:19:21.612+0000][gc,init] CardTable entry size: 512
[2025-05-24T13:19:21.616+0000][gc     ] Using G1
[2025-05-24T13:19:21.659+0000][gc,init] Version: 21.0.4+7-LTS (release)
[2025-05-24T13:19:21.660+0000][gc,init] CPUs: 12 total, 12 available
[2025-05-24T13:19:21.663+0000][gc,init] Memory: 15597M
[2025-05-24T13:19:21.663+0000][gc,init] Large Page Support: Disabled
[2025-05-24T13:19:21.663+0000][gc,init] NUMA Support: Disabled
[2025-05-24T13:19:21.664+0000][gc,init] Compressed Oops: Enabled (32-bit)
[2025-05-24T13:19:21.670+0000][gc,init] Heap Region Size: 1M
[2025-05-24T13:19:21.670+0000][gc,init] Heap Min Capacity: 1G
[2025-05-24T13:19:21.671+0000][gc,init] Heap Initial Capacity: 1G
[2025-05-24T13:19:21.671+0000][gc,init] Heap Max Capacity: 1G
[2025-05-24T13:19:21.671+0000][gc,init] Pre-touch: Disabled
[2025-05-24T13:19:21.672+0000][gc,init] Parallel Workers: 10
[2025-05-24T13:19:21.672+0000][gc,init] Concurrent Workers: 3
[2025-05-24T13:19:21.673+0000][gc,init] Concurrent Refinement Workers: 10
[2025-05-24T13:19:21.673+0000][gc,init] Periodic GC: Disabled
[2025-05-24T13:19:21.716+0000][gc,metaspace] CDS archive(s) mapped at: [0x00007fef8f000000-0x00007fef8fbbe000-0x00007fef92674000), size 57098240, SharedBaseAddress: 0x00007fef8f000000, ArchiveRelocationMode: 1.
[2025-05-24T13:19:21.716+0000][gc,metaspace] Compressed class space mapped at: 0x00007fef93000000-0x00007fefd3000000, reserved size: 1073741824
[2025-05-24T13:19:21.718+0000][gc,metaspace] Narrow klass base: 0x00007fef8f000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[2025-05-24T13:19:26.386+0000][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:19:26.388+0000][gc,task     ] GC(0) Using 10 workers of 10 for evacuation
[2025-05-24T13:19:26.427+0000][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.4ms
[2025-05-24T13:19:26.427+0000][gc,phases   ] GC(0)   Merge Heap Roots: 0.2ms
[2025-05-24T13:19:26.428+0000][gc,phases   ] GC(0)   Evacuate Collection Set: 32.6ms
[2025-05-24T13:19:26.428+0000][gc,phases   ] GC(0)   Post Evacuate Collection Set: 5.0ms
[2025-05-24T13:19:26.428+0000][gc,phases   ] GC(0)   Other: 2.2ms
[2025-05-24T13:19:26.428+0000][gc,heap     ] GC(0) Eden regions: 51->0(44)
[2025-05-24T13:19:26.428+0000][gc,heap     ] GC(0) Survivor regions: 0->7(7)
[2025-05-24T13:19:26.429+0000][gc,heap     ] GC(0) Old regions: 1->7
[2025-05-24T13:19:26.429+0000][gc,heap     ] GC(0) Humongous regions: 1->1
[2025-05-24T13:19:26.429+0000][gc,metaspace] GC(0) Metaspace: 5617K(5824K)->5617K(5824K) NonClass: 4953K(5056K)->4953K(5056K) Class: 664K(768K)->664K(768K)
[2025-05-24T13:19:26.429+0000][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 52M->14M(1024M) 43.537ms
[2025-05-24T13:19:26.430+0000][gc,cpu      ] GC(0) User=0.11s Sys=0.01s Real=0.04s
[2025-05-24T13:19:29.384+0000][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:19:29.385+0000][gc,task     ] GC(1) Using 10 workers of 10 for evacuation
[2025-05-24T13:19:29.394+0000][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.4ms
[2025-05-24T13:19:29.395+0000][gc,phases   ] GC(1)   Merge Heap Roots: 0.2ms
[2025-05-24T13:19:29.395+0000][gc,phases   ] GC(1)   Evacuate Collection Set: 7.5ms
[2025-05-24T13:19:29.395+0000][gc,phases   ] GC(1)   Post Evacuate Collection Set: 1.0ms
[2025-05-24T13:19:29.395+0000][gc,phases   ] GC(1)   Other: 0.3ms
[2025-05-24T13:19:29.395+0000][gc,heap     ] GC(1) Eden regions: 44->0(47)
[2025-05-24T13:19:29.395+0000][gc,heap     ] GC(1) Survivor regions: 7->5(7)
[2025-05-24T13:19:29.395+0000][gc,heap     ] GC(1) Old regions: 7->15
[2025-05-24T13:19:29.396+0000][gc,heap     ] GC(1) Humongous regions: 130->130
[2025-05-24T13:19:29.396+0000][gc,metaspace] GC(1) Metaspace: 7658K(7872K)->7658K(7872K) NonClass: 6671K(6784K)->6671K(6784K) Class: 987K(1088K)->987K(1088K)
[2025-05-24T13:19:29.396+0000][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 187M->148M(1024M) 11.826ms
[2025-05-24T13:19:29.396+0000][gc,cpu      ] GC(1) User=0.03s Sys=0.03s Real=0.02s
[2025-05-24T13:19:29.693+0000][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:19:29.693+0000][gc,task     ] GC(2) Using 10 workers of 10 for evacuation
